indice_tiempo,medio_de_transporte,pais_origen,turistas_no_residentes
2016-01,Aérea,Europa,75533.8
2016-01,Aérea,Resto del mundo,19267.2
2016-01,Aérea,Resto de América,35648.1
2016-01,Aérea,Uruguay,3123.9
2016-01,Aérea,Paraguay,5093.5
2016-01,Aérea,EE.UU. y Canadá,39785
2016-01,Aérea,Chile,16396
2016-01,Aérea,Brasil,38487
2016-01,Aérea,Bolivia,7842.5
2016-01,Terrestre,Europa,36558.7
2016-01,Terrestre,Resto del mundo,16248.7
2016-01,Terrestre,Resto de América,16767
2016-01,Terrestre,Uruguay,29126.4
2016-01,Terrestre,Paraguay,78661.7
2016-01,Terrestre,EE.UU. y Canadá,7767.1
2016-01,Terrestre,Chile,131498.2
2016-01,Terrestre,Brasil,43461.2
2016-01,Terrestre,Bolivia,65508.5
2016-01,Fluvial/Marítima,Europa,21939.1
2016-01,Fluvial/Marítima,Resto del mundo,6361
2016-01,Fluvial/Marítima,Resto de América,6935
2016-01,Fluvial/Marítima,Uruguay,23048
2016-01,Fluvial/Marítima,Paraguay,7472
2016-01,Fluvial/Marítima,EE.UU. y Canadá,19143
2016-01,Fluvial/Marítima,Chile,2491.9
2016-01,Fluvial/Marítima,Brasil,37199.1
2016-01,Fluvial/Marítima,Bolivia,8601.1
2016-02,Aérea,Europa,57767
2016-02,Aérea,Resto del mundo,17812
2016-02,Aérea,Resto de América,25223.6
2016-02,Aérea,Uruguay,3169.3
2016-02,Aérea,Paraguay,4035.6
2016-02,Aérea,EE.UU. y Canadá,28328
2016-02,Aérea,Chile,22602
2016-02,Aérea,Brasil,23715
2016-02,Aérea,Bolivia,6078.6
2016-02,Terrestre,Europa,33867
2016-02,Terrestre,Resto del mundo,13905.2
2016-02,Terrestre,Resto de América,12519.9
2016-02,Terrestre,Uruguay,28694.6
2016-02,Terrestre,Paraguay,66428.6
2016-02,Terrestre,EE.UU. y Canadá,7469.1
2016-02,Terrestre,Chile,184786.5
2016-02,Terrestre,Brasil,28331
2016-02,Terrestre,Bolivia,42929.4
2016-02,Fluvial/Marítima,Europa,27799.1
2016-02,Fluvial/Marítima,Resto del mundo,6658
2016-02,Fluvial/Marítima,Resto de América,4702
2016-02,Fluvial/Marítima,Uruguay,24035
2016-02,Fluvial/Marítima,Paraguay,6616
2016-02,Fluvial/Marítima,EE.UU. y Canadá,19220
2016-02,Fluvial/Marítima,Chile,4418.3
2016-02,Fluvial/Marítima,Brasil,30754
2016-02,Fluvial/Marítima,Bolivia,4161
2016-03,Aérea,Europa,57646
2016-03,Aérea,Resto del mundo,16022
2016-03,Aérea,Resto de América,29163.3
2016-03,Aérea,Uruguay,5247.9
2016-03,Aérea,Paraguay,5093.9
2016-03,Aérea,EE.UU. y Canadá,32053
2016-03,Aérea,Chile,18059
2016-03,Aérea,Brasil,26809
2016-03,Aérea,Bolivia,5110.9
2016-03,Terrestre,Europa,31107.6
2016-03,Terrestre,Resto del mundo,9748.6
2016-03,Terrestre,Resto de América,12560.3
2016-03,Terrestre,Uruguay,39941.8
2016-03,Terrestre,Paraguay,65506.9
2016-03,Terrestre,EE.UU. y Canadá,6731.6
2016-03,Terrestre,Chile,84207.5
2016-03,Terrestre,Brasil,23903.6
2016-03,Terrestre,Bolivia,30150.8
2016-03,Fluvial/Marítima,Europa,17408.1
2016-03,Fluvial/Marítima,Resto del mundo,5109
2016-03,Fluvial/Marítima,Resto de América,7030
2016-03,Fluvial/Marítima,Uruguay,36770
2016-03,Fluvial/Marítima,Paraguay,6175
2016-03,Fluvial/Marítima,EE.UU. y Canadá,16442
2016-03,Fluvial/Marítima,Chile,1786.1
2016-03,Fluvial/Marítima,Brasil,11382
2016-03,Fluvial/Marítima,Bolivia,6050
2016-04,Aérea,Europa,48942
2016-04,Aérea,Resto del mundo,14094
2016-04,Aérea,Resto de América,27073.1
2016-04,Aérea,Uruguay,4775.7
2016-04,Aérea,Paraguay,4652.2
2016-04,Aérea,EE.UU. y Canadá,24870
2016-04,Aérea,Chile,18451
2016-04,Aérea,Brasil,39399
2016-04,Aérea,Bolivia,5071.1
2016-04,Terrestre,Europa,17933.4
2016-04,Terrestre,Resto del mundo,5593.4
2016-04,Terrestre,Resto de América,8726.5
2016-04,Terrestre,Uruguay,22042.4
2016-04,Terrestre,Paraguay,38265.9
2016-04,Terrestre,EE.UU. y Canadá,3463.2
2016-04,Terrestre,Chile,45982.7
2016-04,Terrestre,Brasil,26210.4
2016-04,Terrestre,Bolivia,27120.8
2016-04,Fluvial/Marítima,Europa,6239.9
2016-04,Fluvial/Marítima,Resto del mundo,1686
2016-04,Fluvial/Marítima,Resto de América,3366
2016-04,Fluvial/Marítima,Uruguay,26836
2016-04,Fluvial/Marítima,Paraguay,5271
2016-04,Fluvial/Marítima,EE.UU. y Canadá,2776
2016-04,Fluvial/Marítima,Chile,706.2
2016-04,Fluvial/Marítima,Brasil,8748
2016-04,Fluvial/Marítima,Bolivia,7331
2016-05,Aérea,Europa,32627
2016-05,Aérea,Resto del mundo,12975
2016-05,Aérea,Resto de América,25618.1
2016-05,Aérea,Uruguay,5848.6
2016-05,Aérea,Paraguay,5097.7
2016-05,Aérea,EE.UU. y Canadá,19151
2016-05,Aérea,Chile,20912
2016-05,Aérea,Brasil,45690
2016-05,Aérea,Bolivia,5040.6
2016-05,Terrestre,Europa,11527.8
2016-05,Terrestre,Resto del mundo,3833.7
2016-05,Terrestre,Resto de América,8515.2
2016-05,Terrestre,Uruguay,17478.5
2016-05,Terrestre,Paraguay,44576.4
2016-05,Terrestre,EE.UU. y Canadá,1776.4
2016-05,Terrestre,Chile,39400.8
2016-05,Terrestre,Brasil,24053.2
2016-05,Terrestre,Bolivia,27969.2
2016-05,Fluvial/Marítima,Europa,3951.9
2016-05,Fluvial/Marítima,Resto del mundo,1121
2016-05,Fluvial/Marítima,Resto de América,3215
2016-05,Fluvial/Marítima,Uruguay,27052
2016-05,Fluvial/Marítima,Paraguay,5987
2016-05,Fluvial/Marítima,EE.UU. y Canadá,1772
2016-05,Fluvial/Marítima,Chile,724.1
2016-05,Fluvial/Marítima,Brasil,8308
2016-05,Fluvial/Marítima,Bolivia,9861
2016-06,Aérea,Europa,26362.2
2016-06,Aérea,Resto del mundo,10530.8
2016-06,Aérea,Resto de América,25026.5
2016-06,Aérea,Uruguay,5439.4
2016-06,Aérea,Paraguay,4485.6
2016-06,Aérea,EE.UU. y Canadá,19264
2016-06,Aérea,Chile,19467
2016-06,Aérea,Brasil,49361
2016-06,Aérea,Bolivia,4373.6
2016-06,Terrestre,Europa,7391
2016-06,Terrestre,Resto del mundo,2882
2016-06,Terrestre,Resto de América,7789.7
2016-06,Terrestre,Uruguay,17575.9
2016-06,Terrestre,Paraguay,41117.9
2016-06,Terrestre,EE.UU. y Canadá,2154.5
2016-06,Terrestre,Chile,31640.6
2016-06,Terrestre,Brasil,18739.5
2016-06,Terrestre,Bolivia,25377.7
2016-06,Fluvial/Marítima,Europa,2788.9
2016-06,Fluvial/Marítima,Resto del mundo,929
2016-06,Fluvial/Marítima,Resto de América,3249
2016-06,Fluvial/Marítima,Uruguay,22942
2016-06,Fluvial/Marítima,Paraguay,5425
2016-06,Fluvial/Marítima,EE.UU. y Canadá,1918
2016-06,Fluvial/Marítima,Chile,556.2
2016-06,Fluvial/Marítima,Brasil,8014
2016-06,Fluvial/Marítima,Bolivia,9216
2016-07,Aérea,Europa,28780
2016-07,Aérea,Resto del mundo,11557
2016-07,Aérea,Resto de América,28484.2
2016-07,Aérea,Uruguay,5514.3
2016-07,Aérea,Paraguay,6576.3
2016-07,Aérea,EE.UU. y Canadá,20868
2016-07,Aérea,Chile,21287
2016-07,Aérea,Brasil,70345
2016-07,Aérea,Bolivia,6402.3
2016-07,Terrestre,Europa,11336.3
2016-07,Terrestre,Resto del mundo,3336.5
2016-07,Terrestre,Resto de América,10767.7
2016-07,Terrestre,Uruguay,34425.6
2016-07,Terrestre,Paraguay,70832
2016-07,Terrestre,EE.UU. y Canadá,2813.3
2016-07,Terrestre,Chile,54595.3
2016-07,Terrestre,Brasil,31457
2016-07,Terrestre,Bolivia,41798.3
2016-07,Fluvial/Marítima,Europa,3692.9
2016-07,Fluvial/Marítima,Resto del mundo,1054
2016-07,Fluvial/Marítima,Resto de América,4032
2016-07,Fluvial/Marítima,Uruguay,37192
2016-07,Fluvial/Marítima,Paraguay,7109
2016-07,Fluvial/Marítima,EE.UU. y Canadá,1948
2016-07,Fluvial/Marítima,Chile,942
2016-07,Fluvial/Marítima,Brasil,13950
2016-07,Fluvial/Marítima,Bolivia,11524
2016-08,Aérea,Europa,36190
2016-08,Aérea,Resto del mundo,13068
2016-08,Aérea,Resto de América,30544.4
2016-08,Aérea,Uruguay,5035.4
2016-08,Aérea,Paraguay,4929.4
2016-08,Aérea,EE.UU. y Canadá,21407
2016-08,Aérea,Chile,20094
2016-08,Aérea,Brasil,64338
2016-08,Aérea,Bolivia,5063.8
2016-08,Terrestre,Europa,13832.6
2016-08,Terrestre,Resto del mundo,3587.1
2016-08,Terrestre,Resto de América,10343.6
2016-08,Terrestre,Uruguay,23443.6
2016-08,Terrestre,Paraguay,54612.7
2016-08,Terrestre,EE.UU. y Canadá,2621.1
2016-08,Terrestre,Chile,39880
2016-08,Terrestre,Brasil,23036.7
2016-08,Terrestre,Bolivia,28782.4
2016-08,Fluvial/Marítima,Europa,4542.8
2016-08,Fluvial/Marítima,Resto del mundo,955
2016-08,Fluvial/Marítima,Resto de América,3759
2016-08,Fluvial/Marítima,Uruguay,26920
2016-08,Fluvial/Marítima,Paraguay,6205
2016-08,Fluvial/Marítima,EE.UU. y Canadá,1563
2016-08,Fluvial/Marítima,Chile,695
2016-08,Fluvial/Marítima,Brasil,9029
2016-08,Fluvial/Marítima,Bolivia,8808
2016-09,Aérea,Europa,32683
2016-09,Aérea,Resto del mundo,13579
2016-09,Aérea,Resto de América,25911.2
2016-09,Aérea,Uruguay,5898
2016-09,Aérea,Paraguay,4575.1
2016-09,Aérea,EE.UU. y Canadá,17933
2016-09,Aérea,Chile,20488
2016-09,Aérea,Brasil,58354
2016-09,Aérea,Bolivia,5522.8
2016-09,Terrestre,Europa,11924.1
2016-09,Terrestre,Resto del mundo,3644.6
2016-09,Terrestre,Resto de América,10568.5
2016-09,Terrestre,Uruguay,32908.6
2016-09,Terrestre,Paraguay,51042.4
2016-09,Terrestre,EE.UU. y Canadá,2448
2016-09,Terrestre,Chile,54731
2016-09,Terrestre,Brasil,28841.2
2016-09,Terrestre,Bolivia,26936.8
2016-09,Fluvial/Marítima,Europa,4190.9
2016-09,Fluvial/Marítima,Resto del mundo,1149
2016-09,Fluvial/Marítima,Resto de América,3737
2016-09,Fluvial/Marítima,Uruguay,30070
2016-09,Fluvial/Marítima,Paraguay,6965
2016-09,Fluvial/Marítima,EE.UU. y Canadá,1522
2016-09,Fluvial/Marítima,Chile,1052
2016-09,Fluvial/Marítima,Brasil,10371
2016-09,Fluvial/Marítima,Bolivia,8472
2016-10,Aérea,Europa,35890
2016-10,Aérea,Resto del mundo,14573
2016-10,Aérea,Resto de América,31726.1
2016-10,Aérea,Uruguay,4983.2
2016-10,Aérea,Paraguay,5171.9
2016-10,Aérea,EE.UU. y Canadá,20087
2016-10,Aérea,Chile,23299
2016-10,Aérea,Brasil,55081
2016-10,Aérea,Bolivia,5856.8
2016-10,Terrestre,Europa,20625.7
2016-10,Terrestre,Resto del mundo,5687.5
2016-10,Terrestre,Resto de América,12040.9
2016-10,Terrestre,Uruguay,27707.5
2016-10,Terrestre,Paraguay,59977.7
2016-10,Terrestre,EE.UU. y Canadá,2984.1
2016-10,Terrestre,Chile,68240.5
2016-10,Terrestre,Brasil,29331.8
2016-10,Terrestre,Bolivia,30618.8
2016-10,Fluvial/Marítima,Europa,6166.6
2016-10,Fluvial/Marítima,Resto del mundo,1444
2016-10,Fluvial/Marítima,Resto de América,5126
2016-10,Fluvial/Marítima,Uruguay,31127
2016-10,Fluvial/Marítima,Paraguay,7247
2016-10,Fluvial/Marítima,EE.UU. y Canadá,2221
2016-10,Fluvial/Marítima,Chile,1066.1
2016-10,Fluvial/Marítima,Brasil,10294
2016-10,Fluvial/Marítima,Bolivia,8221
2016-11,Aérea,Europa,54057
2016-11,Aérea,Resto del mundo,14625
2016-11,Aérea,Resto de América,34762.7
2016-11,Aérea,Uruguay,4715
2016-11,Aérea,Paraguay,5042.3
2016-11,Aérea,EE.UU. y Canadá,26809
2016-11,Aérea,Chile,23708
2016-11,Aérea,Brasil,52301
2016-11,Aérea,Bolivia,5737
2016-11,Terrestre,Europa,34929.1
2016-11,Terrestre,Resto del mundo,6100.3
2016-11,Terrestre,Resto de América,12571.4
2016-11,Terrestre,Uruguay,22918.9
2016-11,Terrestre,Paraguay,51525
2016-11,Terrestre,EE.UU. y Canadá,4843.3
2016-11,Terrestre,Chile,67054.1
2016-11,Terrestre,Brasil,28143.6
2016-11,Terrestre,Bolivia,26594.3
2016-11,Fluvial/Marítima,Europa,11832.8
2016-11,Fluvial/Marítima,Resto del mundo,1902
2016-11,Fluvial/Marítima,Resto de América,5592
2016-11,Fluvial/Marítima,Uruguay,28093
2016-11,Fluvial/Marítima,Paraguay,7272
2016-11,Fluvial/Marítima,EE.UU. y Canadá,5760
2016-11,Fluvial/Marítima,Chile,989.1
2016-11,Fluvial/Marítima,Brasil,9886
2016-11,Fluvial/Marítima,Bolivia,6516
2016-12,Aérea,Europa,60037.9
2016-12,Aérea,Resto del mundo,16113.1
2016-12,Aérea,Resto de América,47161.4
2016-12,Aérea,Uruguay,3987.1
2016-12,Aérea,Paraguay,5825.4
2016-12,Aérea,EE.UU. y Canadá,30532
2016-12,Aérea,Chile,19493
2016-12,Aérea,Brasil,45569
2016-12,Aérea,Bolivia,7720.2
2016-12,Terrestre,Europa,29930.3
2016-12,Terrestre,Resto del mundo,9342.4
2016-12,Terrestre,Resto de América,16031.5
2016-12,Terrestre,Uruguay,22400.4
2016-12,Terrestre,Paraguay,132249.5
2016-12,Terrestre,EE.UU. y Canadá,6628.6
2016-12,Terrestre,Chile,84344.5
2016-12,Terrestre,Brasil,33451.2
2016-12,Terrestre,Bolivia,51032.3
2016-12,Fluvial/Marítima,Europa,13716.7
2016-12,Fluvial/Marítima,Resto del mundo,3269
2016-12,Fluvial/Marítima,Resto de América,8116
2016-12,Fluvial/Marítima,Uruguay,28148
2016-12,Fluvial/Marítima,Paraguay,14034
2016-12,Fluvial/Marítima,EE.UU. y Canadá,11181.8
2016-12,Fluvial/Marítima,Chile,1289.1
2016-12,Fluvial/Marítima,Brasil,17986
2016-12,Fluvial/Marítima,Bolivia,9266
2017-01,Aérea,Europa,73053
2017-01,Aérea,Resto del mundo,19573
2017-01,Aérea,Resto de América,36562.9
2017-01,Aérea,Uruguay,3233.9
2017-01,Aérea,Paraguay,5725.7
2017-01,Aérea,EE.UU. y Canadá,38842
2017-01,Aérea,Chile,16710
2017-01,Aérea,Brasil,46279
2017-01,Aérea,Bolivia,8102.6
2017-01,Terrestre,Europa,34246.7
2017-01,Terrestre,Resto del mundo,14260.7
2017-01,Terrestre,Resto de América,16263.7
2017-01,Terrestre,Uruguay,22895.1
2017-01,Terrestre,Paraguay,80541.6
2017-01,Terrestre,EE.UU. y Canadá,7208.7
2017-01,Terrestre,Chile,109650
2017-01,Terrestre,Brasil,50477.2
2017-01,Terrestre,Bolivia,59626.2
2017-01,Fluvial/Marítima,Europa,21275.1
2017-01,Fluvial/Marítima,Resto del mundo,6055
2017-01,Fluvial/Marítima,Resto de América,7966
2017-01,Fluvial/Marítima,Uruguay,22640
2017-01,Fluvial/Marítima,Paraguay,11602
2017-01,Fluvial/Marítima,EE.UU. y Canadá,20009
2017-01,Fluvial/Marítima,Chile,2332.7
2017-01,Fluvial/Marítima,Brasil,34382
2017-01,Fluvial/Marítima,Bolivia,7718
2017-02,Aérea,Europa,53129
2017-02,Aérea,Resto del mundo,15455
2017-02,Aérea,Resto de América,26292.5
2017-02,Aérea,Uruguay,3451.1
2017-02,Aérea,Paraguay,4929.7
2017-02,Aérea,EE.UU. y Canadá,28272
2017-02,Aérea,Chile,21576
2017-02,Aérea,Brasil,26818
2017-02,Aérea,Bolivia,6922.7
2017-02,Terrestre,Europa,31266.8
2017-02,Terrestre,Resto del mundo,13028.2
2017-02,Terrestre,Resto de América,10780.9
2017-02,Terrestre,Uruguay,22015.7
2017-02,Terrestre,Paraguay,67670.4
2017-02,Terrestre,EE.UU. y Canadá,6505
2017-02,Terrestre,Chile,143283.3
2017-02,Terrestre,Brasil,30093.4
2017-02,Terrestre,Bolivia,46959.7
2017-02,Fluvial/Marítima,Europa,26294.1
2017-02,Fluvial/Marítima,Resto del mundo,9492
2017-02,Fluvial/Marítima,Resto de América,4560
2017-02,Fluvial/Marítima,Uruguay,23175
2017-02,Fluvial/Marítima,Paraguay,8783
2017-02,Fluvial/Marítima,EE.UU. y Canadá,21198
2017-02,Fluvial/Marítima,Chile,3923.8
2017-02,Fluvial/Marítima,Brasil,26846
2017-02,Fluvial/Marítima,Bolivia,6265
2017-03,Aérea,Europa,57764
2017-03,Aérea,Resto del mundo,15896
2017-03,Aérea,Resto de América,28504.2
2017-03,Aérea,Uruguay,4248.8
2017-03,Aérea,Paraguay,4471.6
2017-03,Aérea,EE.UU. y Canadá,31426
2017-03,Aérea,Chile,24139
2017-03,Aérea,Brasil,42302
2017-03,Aérea,Bolivia,4760.4
2017-03,Terrestre,Europa,28343.4
2017-03,Terrestre,Resto del mundo,8906.7
2017-03,Terrestre,Resto de América,9472.6
2017-03,Terrestre,Uruguay,23462.2
2017-03,Terrestre,Paraguay,48206.4
2017-03,Terrestre,EE.UU. y Canadá,6129.7
2017-03,Terrestre,Chile,63639.4
2017-03,Terrestre,Brasil,26014.3
2017-03,Terrestre,Bolivia,27891.7
2017-03,Fluvial/Marítima,Europa,15342.1
2017-03,Fluvial/Marítima,Resto del mundo,3262
2017-03,Fluvial/Marítima,Resto de América,4581
2017-03,Fluvial/Marítima,Uruguay,26108
2017-03,Fluvial/Marítima,Paraguay,8034
2017-03,Fluvial/Marítima,EE.UU. y Canadá,12765
2017-03,Fluvial/Marítima,Chile,1561.7
2017-03,Fluvial/Marítima,Brasil,17946
2017-03,Fluvial/Marítima,Bolivia,4938
2017-04,Aérea,Europa,47905
2017-04,Aérea,Resto del mundo,13379.1
2017-04,Aérea,Resto de América,30986
2017-04,Aérea,Uruguay,5440.5
2017-04,Aérea,Paraguay,5189.7
2017-04,Aérea,EE.UU. y Canadá,24972
2017-04,Aérea,Chile,20186
2017-04,Aérea,Brasil,45565
2017-04,Aérea,Bolivia,5840.8
2017-04,Terrestre,Europa,19809.7
2017-04,Terrestre,Resto del mundo,6082.2
2017-04,Terrestre,Resto de América,9290.3
2017-04,Terrestre,Uruguay,36039.1
2017-04,Terrestre,Paraguay,54073.2
2017-04,Terrestre,EE.UU. y Canadá,3067
2017-04,Terrestre,Chile,52640.7
2017-04,Terrestre,Brasil,30967.4
2017-04,Terrestre,Bolivia,26731
2017-04,Fluvial/Marítima,Europa,8200.9
2017-04,Fluvial/Marítima,Resto del mundo,1763
2017-04,Fluvial/Marítima,Resto de América,5286
2017-04,Fluvial/Marítima,Uruguay,37474
2017-04,Fluvial/Marítima,Paraguay,7917
2017-04,Fluvial/Marítima,EE.UU. y Canadá,4271
2017-04,Fluvial/Marítima,Chile,965.3
2017-04,Fluvial/Marítima,Brasil,10032
2017-04,Fluvial/Marítima,Bolivia,7890
2017-05,Aérea,Europa,33136
2017-05,Aérea,Resto del mundo,12442
2017-05,Aérea,Resto de América,28007.9
2017-05,Aérea,Uruguay,5052
2017-05,Aérea,Paraguay,5830.7
2017-05,Aérea,EE.UU. y Canadá,19149
2017-05,Aérea,Chile,21136
2017-05,Aérea,Brasil,52396
2017-05,Aérea,Bolivia,5079.3
2017-05,Terrestre,Europa,10544.7
2017-05,Terrestre,Resto del mundo,3989.2
2017-05,Terrestre,Resto de América,7760.3
2017-05,Terrestre,Uruguay,18224.5
2017-05,Terrestre,Paraguay,43219.6
2017-05,Terrestre,EE.UU. y Canadá,1896.6
2017-05,Terrestre,Chile,35622.9
2017-05,Terrestre,Brasil,23211.8
2017-05,Terrestre,Bolivia,25438.6
2017-05,Fluvial/Marítima,Europa,3623
2017-05,Fluvial/Marítima,Resto del mundo,1102
2017-05,Fluvial/Marítima,Resto de América,3759
2017-05,Fluvial/Marítima,Uruguay,29041
2017-05,Fluvial/Marítima,Paraguay,7154
2017-05,Fluvial/Marítima,EE.UU. y Canadá,1839
2017-05,Fluvial/Marítima,Chile,766.2
2017-05,Fluvial/Marítima,Brasil,8962
2017-05,Fluvial/Marítima,Bolivia,8640
2017-06,Aérea,Europa,28219
2017-06,Aérea,Resto del mundo,11165
2017-06,Aérea,Resto de América,26155.5
2017-06,Aérea,Uruguay,5268.7
2017-06,Aérea,Paraguay,5309.9
2017-06,Aérea,EE.UU. y Canadá,18794
2017-06,Aérea,Chile,19225
2017-06,Aérea,Brasil,58383
2017-06,Aérea,Bolivia,4288.9
2017-06,Terrestre,Europa,6393
2017-06,Terrestre,Resto del mundo,2388.7
2017-06,Terrestre,Resto de América,6843.8
2017-06,Terrestre,Uruguay,14509.2
2017-06,Terrestre,Paraguay,39364.6
2017-06,Terrestre,EE.UU. y Canadá,1319.6
2017-06,Terrestre,Chile,25179.9
2017-06,Terrestre,Brasil,24752
2017-06,Terrestre,Bolivia,25302.2
2017-06,Fluvial/Marítima,Europa,2553
2017-06,Fluvial/Marítima,Resto del mundo,933
2017-06,Fluvial/Marítima,Resto de América,3008
2017-06,Fluvial/Marítima,Uruguay,24328
2017-06,Fluvial/Marítima,Paraguay,7227
2017-06,Fluvial/Marítima,EE.UU. y Canadá,2036
2017-06,Fluvial/Marítima,Chile,545.2
2017-06,Fluvial/Marítima,Brasil,8219
2017-06,Fluvial/Marítima,Bolivia,7229
2017-07,Aérea,Europa,29677.9
2017-07,Aérea,Resto del mundo,10854
2017-07,Aérea,Resto de América,29240
2017-07,Aérea,Uruguay,5447
2017-07,Aérea,Paraguay,7392
2017-07,Aérea,EE.UU. y Canadá,21776
2017-07,Aérea,Chile,22212
2017-07,Aérea,Brasil,86732
2017-07,Aérea,Bolivia,5987
2017-07,Terrestre,Europa,10258.1
2017-07,Terrestre,Resto del mundo,2783.9
2017-07,Terrestre,Resto de América,9914.1
2017-07,Terrestre,Uruguay,33348.3
2017-07,Terrestre,Paraguay,72221.7
2017-07,Terrestre,EE.UU. y Canadá,1687.6
2017-07,Terrestre,Chile,44147
2017-07,Terrestre,Brasil,36346.2
2017-07,Terrestre,Bolivia,40153.9
2017-07,Fluvial/Marítima,Europa,3664.9
2017-07,Fluvial/Marítima,Resto del mundo,994
2017-07,Fluvial/Marítima,Resto de América,4129
2017-07,Fluvial/Marítima,Uruguay,35645
2017-07,Fluvial/Marítima,Paraguay,10537
2017-07,Fluvial/Marítima,EE.UU. y Canadá,2409
2017-07,Fluvial/Marítima,Chile,933
2017-07,Fluvial/Marítima,Brasil,16577
2017-07,Fluvial/Marítima,Bolivia,3349
2017-08,Aérea,Europa,35730.9
2017-08,Aérea,Resto del mundo,12758.1
2017-08,Aérea,Resto de América,31970
2017-08,Aérea,Uruguay,5798
2017-08,Aérea,Paraguay,5679
2017-08,Aérea,EE.UU. y Canadá,23394
2017-08,Aérea,Chile,22029
2017-08,Aérea,Brasil,69237
2017-08,Aérea,Bolivia,5151
2017-08,Terrestre,Europa,12312.8
